ability,能力
able,能力
about,关于
above,以上
abroad,在国外
absence,没有
absent,缺席
abuse,滥用
academy,学院
accent,口音
accept,接受
accepts,接受
access,访问
accused,指责
ace,王牌
achieve,实现
acid,酸
acquire,收购
across,在
acrylic,丙烯酸
act,行为
acting,表演
action,行动
actions,行动
active,活跃的
actors,演员
actress,女演员
acts,行动
actual,实际
adapted,改编
adapter,适配器
adaptor,适配器
add,添加
added,添加
adding,添加
adjust,调整
admin,管理
admit,承认
adopted,采用
adult,成人
adults,成年人
advance,推进
adverse,不良
advert,广告
advice,建议
advise,建议
advised,建议
advisor,顾问
adware,广告软件
aerial,空中
affair,事件
affairs,事务
affect,影响
affects,影响
afford,负担
afraid,害怕
africa,非洲
african,非洲
after,后
again,再一次
against,反对
age,年龄
agency,机构
agenda,议程
agent,代理
agents,代理
ages,年龄
ago,前
agree,同意
agreed,同意
agrees,同意
aid,援助
aim,目的
air,空气
airfare,机票
airport,机场
alarm,报警
album,专辑
albums,专辑
alcohol,酒精
alerts,警报
algebra,代数
alias,别名
align,对齐
all,所有
alleged,所谓
allergy,过敏
allied,盟军
allow,允许
allowed,允许
allows,允许
alloy,合金
almost,几乎
alone,孤独
along,沿着
alpine,高山
already,已经
also,也
alter,改动
altered,改变
alumni,校友
always,总是
amateur,业余
amazing,令人惊异
amazon,亚马逊
amber,琥珀
ambient,环境
amend,修改
amended,修改
america,美国
amino,氨基
among,在
amongst,在
amount,量
amounts,量
analog,模拟
analyst,分析师
analyze,分析
anatomy,解剖学
anchor,锚
ancient,古老的
and,和
angeles,洛杉矶
angels,天使
angle,角
animal,动物
animals,动物
annie,安妮
annual,年度
another,另一个
answer,回答
answers,答案
ant,蚂蚁
antenna,天线
anxiety,焦虑
any,任何
anybody,任何人
anymore,更
anyone,任何人
anytime,任何时候
anyway,无论如何
apart,分开
apparel,服装
appeal,上诉
appeals,上诉
appear,出现
appears,出现
apple,苹果
applied,应用
apply,应用
approve,批准
approx,约
april,四月
apt,恰当的
aquatic,水生
arbor,阿伯
arc,弧
arcade,商场
archive,存档
arctic,北极
are,是
area,区域
areas,区域
arena,竞技场
argued,认为
arising,产生
arm,手臂
armor,护甲
arms,武器
army,军队
around,周围
arrange,安排
arrest,逮捕
arrival,到来
arrive,到达
arrived,到达
arrives,到达
arrow,箭头
art,艺术
article,文章
artist,艺术家
artists,艺术家
arts,艺术
artwork,艺术品
ash,灰
asia,亚洲
aside,一边
ask,问
asked,问
asking,问
aspect,方面
aspects,方面
assault,攻击
assess,评估
asset,资产
assets,资产
assign,分配
assist,协助
assists,协助
assume,假设
assumed,假定
assumes,假设
assure,保证
assured,保证
asthma,哮喘
asylum,庇护
ate,吃了
atom,原子
atomic,原子
attach,附加
attack,攻击
attacks,攻击
attempt,尝试
attend,参加
attract,吸引
auction,拍卖
audio,音频
audit,审计
auditor,审计师
august,八月
aurora,极光
austria,奥地利
author,作者
authors,作者
auto,汽车
autos,汽车
autumn,秋天
avatar,头像
avenue,大道
average,平均
avoid,避免
award,奖
awarded,授予
awards,奖
awesome,太棒了
awful,可怕的
babies,婴儿
baby,婴儿
back,回来
backed,支持
backing,支持
backup,备份
bacon,培根
bad,坏
badge,徽章
bag,袋
bags,袋
baking,烘焙
balance,平衡
ball,球
ballet,芭蕾舞
balloon,气球
ballot,投票
ban,禁止
banana,香蕉
band,乐队
bank,银行
banking,银行活动
banned,禁止
banner,横幅
banners,横幅
baptist,浸信会
bar,酒吧
barely,少有
bargain,讨价还价
barrel,桶
barrier,障碍
bars,酒吧
base,基地
based,基于
bases,基地
basic,基本
basics,基础
basin,盆地
basis,基础
basket,篮子
baskets,篮子
bass,低音
bat,蝙蝠
batch,批量
bath,浴
battery,电池
battle,战斗
bay,湾
beach,海滩
beaches,海滩
beads,珠子
beans,豆子
bear,熊
bearing,轴承
beat,击败
beats,节拍
beauty,美丽
beaver,海狸
became,成为
because,因为
become,成为
becomes,成为
bed,床上
bedding,床上用品
bedroom,卧室
bee,蜜蜂
been,被
before,之前
began,开始
begin,开始
begins,开始
begun,开始
behalf,代表
behind,后面
being,被
beings,人类
belgium,比利时
belief,信仰
beliefs,信仰
believe,相信
bell,铃铛
belle,美女
belly,腹部
belong,属于
belongs,属于
below,下面
belts,腰带
bench,板凳上
beneath,下
benefit,好处
berry,浆果
beside,旁边
besides,除了
best,最好的
bet,打赌
beta,β
better,更好的
betty,贝蒂
between,之间的
beyond,超越
bible,圣经
bicycle,自行车
bid,报价
bidder,投标人
bidding,投标
bids,投标
big,大
bigger,更大的
biggest,最大的
bike,自行车
bikes,自行车
billing,计费
billion,欧元
bin,箱子
binary,二进制
binding,绑定
biology,生物学
bird,鸟
birds,鸟
birth,出生
bit,位
bizarre,奇怪的
black,黑色的
blacks,黑人
blade,叶片
blades,叶片
blame,怪
blank,空白
blanket,毯子
blast,爆炸
blend,混合
bless,祝福
blessed,祝福
blind,盲目的
blink,眨眼
block,块
blocked,阻塞
blocks,区块
blog,博客
blogs,博客
blond,金发碧眼
blood,血
bloody,血腥的
bloom,布鲁姆
blow,打击
blowing,吹
blue,蓝色的
board,木板
boards,木板
boat,船
boating,划船
bodies,身体
body,身体
bolivia,玻利维亚
bond,债券
bonds,债券
bones,骨头
book,书
booking,预订
books,书
boolean,布尔
booth,展位
boots,靴子
border,边境
borders,边界
bored,无聊
boring,无聊的
born,出生
borough,区
both,这两个
bother,麻烦
bottle,瓶
bottles,瓶
bottom,底
bought,买了
boulder,巨石
bouquet,花束
bow,弓
bowling,保龄球
box,盒子
boxing,拳击
boy,男孩
boys,男孩
bra,胸罩
bracket,支架
brake,刹车
brakes,刹车
branch,分支
brand,品牌
brands,品牌
brass,广场
brave,勇敢的
brazil,巴西
breach,违反
break,打破
breaks,休息时间
breast,乳房
breasts,乳房
breath,呼吸
breed,品种
breeds,品种
brick,砖
bridal,新娘
bride,新娘
bridge,桥
bridges,桥梁
briefly,短暂的
briefs,三角裤
bright,明亮的
bring,带
brings,带来了
britain,英国
british,英国人
broader,更广泛的
broke,打破了
broken,破碎的
broker,代理
brokers,经纪人
bronze,青铜
brook,布鲁克
brother,哥哥
brought,带来了
brown,棕色
browse,浏览
browser,浏览器
brush,刷
brutal,残酷的
bubble,泡沫
bucks,雄鹿
budget,预算
budgets,预算
buffalo,水牛
buffer,缓冲
bufing,缓冲区
bug,错误
build,构建
builder,构建器
builds,构建
built,建
bullet,子弹
bumper,保险杠
bunch,群
bundle,包
burden,负担
bureau,局
buried,埋
burner,燃烧器
burning,燃烧
burns,烧伤
burst,破裂
bus,巴士
buses,巴士
but,但
butter,黄油
button,按钮
buttons,按钮
buy,买
buyer,买家
buyers,买家
buying,购买
bye,再见
cab,出租车
cabin,小屋
cabinet,内阁
cable,电缆
cables,电缆
cache,缓存
cached,缓存
cakes,蛋糕
calcium,钙
call,呼叫
called,被称为
calling,调用
calls,调用
came,来了
camel,骆驼
camera,相机
cameras,相机
camp,营
camping,野营
camps,营地
campus,校园
can,可以
canada,加拿大
canal,运河
cancel,取消
cancer,癌症
candle,蜡烛
candles,蜡烛
cannon,大炮
canvas,帆布
canyon,峡谷
cap,帽
capable,有能力
cape,角
capital,本金
capitol,国会大厦
captain,队长
capture,捕获
car,车
carbon,碳
card,卡
cardiac,心脏
cards,卡片
care,护理
career,职业
careers,职业
careful,小心
carey,凯里
cargo,货物
caring,关怀
carlo,卡洛
carpet,地毯
carried,进行
carrier,载体
carries,携带
cars,汽车
cart,车
cartoon,卡通
case,情况
cases,案件
cash,现金
casino,赌场
cast,投掷
casting,铸造
castle,城堡
casual,休闲
cat,猫
catalog,目录
catch,抓
cattle,牛
caught,抓住了
cause,导致
caused,引起的
causes,原因
causing,导致
caution,谨慎
cedar,雪松
ceiling,天花板
cell,细胞
cells,细胞
cement,水泥
cent,分
center,中心
centers,中心
central,中央
centre,中心
centres,中心
cents,美分
century,世纪
ceramic,陶瓷
certain,某些
chains,链
chair,椅子
chairs,椅子
chamber,室
chance,机会
chances,机会
change,改变
changed,改变了
changes,变化
channel,通道
chaos,混乱
chapter,章节
charge,负责
charged,带电
charger,充电器
charges,指控
charity,慈善
charm,魅力
charms,魅力
charter,宪章
charts,图表
chase,追逐
chassis,底盘
chat,聊天
cheaper,更便宜的
cheats,骗子
check,检查
checked,检查
checks,检查
cheers,干杯
cheese,奶酪
cheque,支票
cherry,樱桃
chess,国际象棋
chick,小鸡
chicken,鸡
chicks,小鸡
chief,首席
child,孩子
chile,黄铜
chinese,中国人
chips,芯片
choice,选择
choices,选择
choir,唱诗班
choose,选择
chorus,合唱
chose,选择
chosen,选择
chronic,慢性
church,教堂
cinema,电影
circle,圆圈
circles,圆圈
circuit,电路
circus,马戏团
cities,城市
citizen,公民
city,城市
civic,公民
civil,民事
claim,索赔
claimed,声称
claims,索赔
clarity,清晰
class,班级
classes,类型
classic,经典
clause,条款
clean,清洁
cleaner,更清洁的
cleanup,清理
clear,清晰的
cleared,清除
clearly,很明显
clerk,职员
clicks,点击
client,客户端
clients,客户
cliff,悬崖
climate,气候
climb,爬
clinic,诊所
clinics,诊所
clip,剪辑
clocks,时钟
close,关闭
closed,关闭
closely,密切
closer,更紧密的
closes,关闭
closing,关闭
closure,关闭
cloth,布
clothes,衣服
cloud,云
clouds,云
cloudy,多云的
club,俱乐部
cluster,集群
coaches,教练
coast,海岸
coastal,沿海
coated,涂层
coating,涂层
cod,鳕鱼
code,代码
coding,编码
coffee,咖啡
coins,硬币
cold,冷
collar,领
collect,收集
college,大学
colon,结肠
colony,殖民地
color,颜色
colored,彩色的
colors,颜色
colour,颜色
colours,颜色
column,列
columns,列
combat,战斗
combine,结合
come,来
comedy,喜剧
comes,来了
comfort,安慰
comic,漫画
comics,漫画
coming,未来
command,命令
comment,评论
commit,提交
common,常见
commons,下议院
compact,紧凑
compare,比较
compete,竞争
compile,编译
complex,复杂
comply,遵守
compute,计算
concept,概念
concern,关注
concert,音乐会
condo,公寓
condos,公寓
conduct,行为
config,配置
confirm,确认
connect,连接
consent,同意
consist,组成
console,控制台
consult,咨询
contact,联系
contain,包含
content,内容
contest,比赛
context,上下文
convert,转换
cook,烹饪
cooked,煮熟的
cookie,饼干
cookies,饼干
cooking,烹饪
cool,酷
cooler,冷却器
cooling,冷却
cop,警察
copied,复制
copies,副本
copper,铜
copy,复制
copying,复制
coral,珊瑚
core,核心
corner,角落里
corners,角落
corps,队
corpus,语料库
correct,正确的
cost,成本
costs,成本
costume,服装
cottage,小屋
cotton,棉花
council,委员会
counsel,法律顾问
count,数
counted,数
counted,数
counter,计数器
country,国家
counts,计数
county,县
couple,夫妇
coupled,耦合
couples,夫妻
coupon,优惠券
coupons,优惠券
courage,勇气
courier,快递
course,课程
courses,课程
court,法院
courts,法院
cover,封面
covered,覆盖
covers,涵盖了
cow,牛
cowboy,牛仔
crack,裂纹
cradle,摇篮
craft,工艺
crafts,工艺品
crash,崩溃
create,创建
created,创建
creates,创建
creator,创造者
credit,信贷
credits,学分
creek,溪
crest,鸡冠
cricket,板球
crime,犯罪
crimes,犯罪
crisis,危机
critics,批评
crops,作物
cross,交叉
crowd,人群
crown,皇冠
crucial,至关重要
crude,原油
cruise,巡航
cruises,邮轮
cry,哭
crystal,水晶
cuisine,菜
culture,文化
cup,杯
curious,好奇的
cursor,光标
curve,曲线
curves,曲线
custody,监护权
custom,自定义
customs,海关
cut,减少
cutting,切割
cycles,周期
cycling,骑自行车
dad,爸爸
daily,每天
dairy,乳制品
dam,水坝
damage,损害
damaged,损坏的
damages,损害赔偿
dance,跳舞
dancing,跳舞
danger,危险
danish,丹麦
dark,黑暗
data,数据
date,日期
dated,过时的
dates,日期
dating,约会
day,一天
days,天
dead,死
deadly,致命的
deal,交易
dealer,经销商
dealers,经销商
dealing,处理
deals,交易
dealt,处理
death,死亡
deaths,死亡
